"from","to","weight"
"Chandler","Robert",4
"Chandler","Roger",2
"Chandler","Ronni",3
"Chandler","Ross",496
"Chandler","Sandy",1
"Chandler","Santos",1
"Chandler","Sarah",2
"Chandler","Sebastian",1
"Chandler","Second Girl",1
"Chandler","Shelley",2
"Chandler","Shelley ",1
"Chandler","Singer",2
"Chandler","Sister 1",1
"Chandler","Sophie",1
"Chandler","Stripper",1
"Chandler","Susan",6
"Chandler","Tag",8
"Chandler","The Cigarette Guy",1
"Chandler","The Croupier",1
"Chandler","The Director",1
"Chandler","The Doctor",2
"Chandler","The Girls",2
"Chandler","The Guys",2
"Chandler","The Interviewer",1
"Chandler","The Man",1
"Chandler","The Museum Official",2
"Chandler","The Paramedic",1
"Chandler","The Photographer",1
"Chandler","The Potential Roommate",1
"Chandler","The Rabbi",1
"Chandler","The Stripper",2
"Chandler","The Vampire",1
"Chandler","The Woman",1
"Chandler","Ticket Agent",1
"Chandler","Ticket Counter Attendant",2
"Chandler","Tim",1
"Chandler","Tom",1
"Chandler","Tony",1
"Chandler","Uncle Dan",1
"Chandler","Ursula",2
"Chandler","Vince",1
"Chandler","Voice",1
"Chandler","Waiter in Drag",1
"Chandler","Waitress",1
"Chandler","Wayne",1
"Chandler","Wendy",4
"Chandler","Will",2
"Chandler","Woman",11
"Chandler","Woman At The Wedding",1
"Chandler","Woman No. 1",1
"Chandler","Woman No. 2",1
"Charlton Heston","Joey",1
"Chip","Monica",4
"Chip","Rachel",2
"Chip","Ross",1
"Chloe","Rachel",1
"Chloe","Ross",1
"Claudia","Ken",1
"Claudia","Others",1
"Claudia","Wendy",1
"Clerk","Monica",1
"Clerk","Richard",1
"Coma Guy","Monica",1
"Coma Guy","Phoebe",1
"Cookie","Gunther",1
"Cookie","Joey",2
"Cookie","Joeys Grandmother",1
"Cookie","Joeys Sister",1
"Cookie","Joeys Sisters",1
"Cookie","Mary-Angela",1
"Cookie","Mary-Theresa",1
"Cookie","Monica",1
"Cookie","Phoebe",1
"Cookie","Rachel",1
"Cookie","Ross",1
"Cookie","Sister 1",1
"Cop","Gary",1
"Cop","Guy",1
"Cop","Joey",1
"Cop","Monica",1
"Cop","Phoebe",2
"Cop","Rachel",1
"Cowgirl","Eric",1
"Cowgirl","Girl",1
"Cowgirl","Joey",1
"Cowgirl","Kids",1
"Cowgirl","Mona",1
"Cowgirl","Monica",1
"Cowgirl","Phoebe",1
"Cowgirl","Rachel",1
"Cowgirl","Ross",1
"Cowgirl","Ursula",1
"Customer","Gunther",1
"Customer","Hombre Man",1
"Customer","Joey",2
"Customer","Monica",1
"Customer","Phoebe",1
"Customer","Rachel",1
"Customer","Ross",1
"Customer","Store Guy",1
"Customer","Woman",1
"Cynthia","Joey",1
"Cynthia","Rachel",1
"Dan","Delivery Room Nurse",1
"Dan","Dr. Harad",2
"Dan","Frank",2
"Dan","Joey",1
"Dan","Joey's Doctor",1
"Dan","Monica",3
"Dan","Nurse",1
"Dan","Phoebe",2
"Dan","Rachel",2
"Dan","Ross",1
"Danny","Joey",3
"Danny","Krista",3
"Danny","Monica",7
"Danny","Phoebe",2
"Danny","Rachel",10
"Danny","Tom",1
"Dave","Joey",1
"Dave","Monica",1
"Dave","Rachel",1
"Dave","Ross",1
"David","Dick Clark",1
"David","Fun Bobby",1
"David","Janice",1
"David","Joey",3
"David","Max",3
"David","Monica",3
"David","Phoebe",7
"David","Rachel",2
"David","Ross",2
"David","Sandy",1
"Delivery Room Nurse","Dr. Harad",1
"Delivery Room Nurse","Frank",1
"Delivery Room Nurse","Joey",1
"Delivery Room Nurse","Monica",1
"Delivery Room Nurse","Nurse",1
"Delivery Room Nurse","Phoebe",1
"Delivery Room Nurse","Rachel",1
"Delivery Room Nurse","Ross",1
"Dennis Phillips","Fat Girl",1
"Dennis Phillips","Gert",1
"Dennis Phillips","Joey",2
"Dennis Phillips","Little Girl",1
"Dennis Phillips","Mona",2
"Dennis Phillips","Monica",2
"Dennis Phillips","Mr. Geller",1
"Dennis Phillips","Mrs. Bing",1
"Dennis Phillips","Phoebe",2
"Dennis Phillips","Rachel",2
"Dennis Phillips","Ross",2
"Dennis Phillips","Second Girl",1
"Devon","Emily",1
"Devon","Liam",1
"Devon","Ross",1
"Dick Clark","Fun Bobby",1
"Dick Clark","Janice",1
"Dick Clark","Joey",1
"Dick Clark","Max",1
"Dick Clark","Monica",1
"Dick Clark","Phoebe",1
"Dick Clark","Rachel",1
"Dick Clark","Ross",1
"Dick Clark","Sandy",1
"Dina","Joey",4
"Dina","Rachel",4
"Director","Dr. Drake Ramoray",1
"Director","Janine",1
"Director","Joey",9
"Director","Joey's Co-Star",1
"Director","Kash",1
"Director","Monica",3
"Director","Rachel",1
"Director","Ross",4
"Doctor","Dr. Timothy Burke",1
"Doctor","Joey",1
"Doctor","Monica",1
"Doctor","Nurse",1
"Doctor","Rachel",2
"Doctor","Ross",1
"Don","Monica",2
"Don","Phoebe",2
"Doug","Kara",3
"Doug","Monica",4
"Dr Green","Dr. Green",1
"Dr Green","Rachel",1
"Dr Green","Ross",1
"Dr. Baldhara","Joey",1
"Dr. Baldhara","Ross",1
"Dr. Drake Ramoray","Joey",1
"Dr. Drake Ramoray","Joey's Co-Star",1
"Dr. Drake Ramoray","Kash",1
"Dr. Drake Ramoray","Rachel",1
"Dr. Franzblau","Joey",1
"Dr. Franzblau","Monica",1
"Dr. Franzblau","Nurse",2
"Dr. Franzblau","Phoebe",1
"Dr. Franzblau","Rachel",4
"Dr. Franzblau","Ross",2
"Dr. Franzblau","Susan",2
"Dr. Green","Joey",2
"Dr. Green","Mona",3
"Dr. Green","Phoebe",3
"Dr. Green","Rachel",6
"Dr. Green","Ross",6
"Dr. Green","Waiter",1
"Dr. Harad","Frank",4
"Dr. Harad","Joey",3
"Dr. Harad","Joey's Doctor",1
"Dr. Harad","Monica",3
"Dr. Harad","Nurse",1
"Dr. Harad","Phoebe",5
"Dr. Harad","Rachel",4
"Dr. Harad","Ross",3
"Dr. Johnson","Dr. Rhodes",1
"Dr. Johnson","Ross",1
"Dr. Ledbetter","Ross",1
"Dr. Leedbetter","Joey",1
"Dr. Leedbetter","Monica",1
"Dr. Leedbetter","Phoebe",1
"Dr. Leedbetter","Rachel",1
"Dr. Leedbetter","Ross",2
"Dr. Long","Joey",1
"Dr. Long","Nurse",1
"Dr. Long","Rachel",3
"Dr. Long","Ross",3
"Dr. Miller","Monica",1
"Dr. Miller","Rachel",1
"Dr. Oberman","Frank",1
"Dr. Oberman","Phoebe",1
"Dr. Oberman","Ross",2
"Dr. Oberman","Susan",1
"Dr. Rhodes","Ross",2
"Dr. Schiff","Nurse",1
"Dr. Schiff","Rachel",1
"Dr. Stryker Remoray","Joey",1
"Dr. Stryker Remoray","Nurse #1",1
"Dr. Stryker Remoray","Nurse #2",1
"Dr. Stryker Remoray","Terry",1
"Dr. Timothy Burke","Monica",1
"Dr. Timothy Burke","Nurse",1
"Dr. Timothy Burke","Rachel",1
"Dr. Zane","Frank",1
"Dr. Zane","Phoebe",2
"Drew","Mike",1
"Drunken Gambler","Monica",2
"Drunken Gambler","The Croupier",1
"Earl","Marge",1
"Earl","Phoebe",4
"Earl","Supervisor",1
"Earl","The ""Hey Guy"" Guy",1
"Eldad","Monica",1
"Eldad","Patrick",1
"Eldad","Phoebe",1
"Eldad","Rachel",1
"Elizabeth","First Dorm Guy",1
"Elizabeth","Joey",1
"Elizabeth","Lydia",1
"Elizabeth","Mel",1
"Elizabeth","Monica",2
"Elizabeth","Paul",7
"Elizabeth","Phoebe",2
"Elizabeth","Rachel",8
"Elizabeth","Ross",18
"Elizabeth","Sarah",1
"Elizabeth","Second Dorm Guy",1
"Elizabeth","Zoe",1
"Emeril","Monica",1
"Emily","Gunther",1
"Emily","Joey",12
"Emily","Joshua",2
"Emily","Liam",2
"Emily","Minister",1
"Emily","Monica",11
"Emily","Mr. Geller",1
"Emily","Mr. Waltham",1
"Emily","Mrs. Geller",2
"Emily","Mrs. Waltham",1
"Emily","Phoebe",12
"Emily","Rachel",11
"Emily","Ross",20
"Emily","Susan",2
"Employee","Monica",1
"Employee","Pete",1
"Employee","Secretary",1
"Eric","Girl",1
"Eric","Joey",2
"Eric","Kids",1
"Eric","Mona",2
"Eric","Monica",3
"Eric","Mr. Heckles",1
"Eric","Phoebe",7
"Eric","Rachel",3
"Eric","Ross",4
"Eric","Ursula",2
"Erin","Joey",1
"Erin","Man",1
"Erin","Ray",1
"Estelle","Joey",3
"Estelle","Monica",2
"Estelle","Phoebe",2
"Estelle","Rachel",1
"Everyone","Joey",1
"Everyone","Monica",1
"Everyone","Phoebe",1
"Everyone","Rachel",1
"Fake Monica","Monica",3
"Fake Monica","Phoebe",1
"Fake Monica","Rachel",2
"Fake Monica","Teacher",1
"Fake Monica","Woman",1
"Fat Girl","Gert",1
"Fat Girl","Joey",1
"Fat Girl","Little Girl",1
"Fat Girl","Mona",1
"Fat Girl","Monica",1
"Fat Girl","Mr. Geller",1
"Fat Girl","Phoebe",1
"Fat Girl","Rachel",1
"Fat Girl","Ross",1
"Fat Girl","Second Girl",1
"Fat Monica","Joey",1
"Fat Monica","Monica",2
"Fat Monica","Mr. Geller",1
"Fat Monica","Mrs. Geller",1
"Fat Monica","Phoebe",1
"Fat Monica","Rachel",1
"Fat Monica","Ross",2
"Female Clerk","Joey",1
"Female Jeweler","Male Jeweler",1
"Female Jeweler","Phoebe",1
"Fireman","Phoebe",1
"Fireman","Vince",1
"Fireman #1","Joey",1
"Fireman #1","Monica",1
"Fireman #1","Phoebe",1
"Fireman #1","Rachel",1
"Fireman #2","Phoebe",1
"Fireman #2","Rachel",1
"Fireman No. 1","Fireman No. 2",2
"Fireman No. 1","Fireman No. 3",2
"Fireman No. 1","Monica",1
"Fireman No. 1","Rachel",1
"Fireman No. 2","Fireman No. 3",2
"Fireman No. 2","Monica",1
"Fireman No. 2","Rachel",1
"Fireman No. 3","Monica",2
"Fireman No. 3","Phoebe",1
"Fireman No. 3","Rachel",2
"First Dorm Guy","Ross",1
"First Dorm Guy","Sarah",1
"First Dorm Guy","Second Dorm Guy",1
"First Dorm Guy","Zoe",1
"Flight Attendant","Man",1
"Flight Attendant","Rachel",3
"Flight Attendant","Ross",3
"Frank","Girl",1
"Frank","Jasmine",1
"Frank","Joey",7
"Frank","Joey's Doctor",1
"Frank","Monica",7
"Frank","Nurse",1
"Frank","Phoebe",17
"Frank","Phoebe Sr",1
"Frank","Rachel",8
"Frank","Ross",8
"Frank Sr.","Joey",1
"Frank Sr.","Monica",1
"Frank Sr.","Phoebe",2
"Frank Sr.","Rachel",1
"Frank Sr.","Ross",1
"Frannie","Monica",2
"Frannie","Ross",1
"Friend No. 1","Friend No. 2",2
"Friend No. 1","Her Friends",1
"Friend No. 1","Monica",1
"Friend No. 1","Rachel",2
"Friend No. 1","Waitress",1
"Friend No. 2","Her Friends",1
"Friend No. 2","Monica",1
"Friend No. 2","Rachel",2
"Friend No. 2","Waitress",1
"Front Desk Clerk","Joey",1
"Front Desk Clerk","Man",1
"Front Desk Clerk","Monica",2
"Front Desk Clerk","Phoebe",1
"Front Desk Clerk","Rachel",1
"Front Desk Clerk","Woman",1
"Fun Bobby","Janice",1
"Fun Bobby","Joey",1
"Fun Bobby","Max",1
"Fun Bobby","Monica",1
"Fun Bobby","Phoebe",1
"Fun Bobby","Rachel",1
"Fun Bobby","Ross",1
"Fun Bobby","Sandy",1
"Gary","Joey",7
"Gary","Monica",8
"Gary","Phoebe",11
"Gary","Rachel",2
"Gary","Ross",6
"Gary Collins","Joey",2
"Gary Collins","PBS Volunteer",1
"Gary Collins","Phoebe",2
"Gary Collins","Stage Director",1
"Gavin","Heather",1
"Gavin","Monica",2
"Gavin","Phoebe",1
"Gavin","Rachel",3
"Gerston","Petrie",1
"Gerston","Phoebe",1
"Gerston","Santos",1
"Gert","Joey",1
"Gert","Little Girl",1
"Gert","Mona",1
"Gert","Monica",1
"Gert","Mr. Geller",1
"Gert","Phoebe",1
"Gert","Rachel",1
"Gert","Ross",1
"Gert","Second Girl",1
"Ginger","Gunther",1
"Ginger","Joey",1
"Ginger","Phoebe",1
"Ginger","Woman",1
"Girl","Jasmine",1
"Girl","Joey",1
"Girl","Kids",1
"Girl","Leader",1
"Girl","Mona",1
"Girl","Monica",1
"Girl","Phoebe",2
"Girl","Rachel",1
"Girl","Ross",2
"Girl","Ursula",1
"Girls","Guys",1
"Girls","Joey",1
"Girls","Monica",1
"Girls","Phoebe",1
"Girls","Rachel",1
"Girls","Ross",1
"Grandma Tribbiani","Joey",2
"Grandma Tribbiani","Monica",1
"Grandma Tribbiani","Phoebe",2
"Grandma Tribbiani","Rachel",2
"Grandma Tribbiani","Ross",2
"Guest #1","Phoebe",1
"Guest #1","Ross",1
"Guest #1","Steve",1
"Guest #2","Guest #3",1
"Guest #2","Phoebe",1
"Guest #2","Ross",1
"Guest #2","Steve",1
"Guest #3","Phoebe",1
"Guest #3","Ross",1
"Guest #3","Steve",1
"Gunther","Janice",2
"Gunther","Jill",1
"Gunther","Joey",31
"Gunther","Joeys Sisters",1
"Gunther","Joshua",1
"Gunther","Kathy",1
"Gunther","Kid",1
"Gunther","Larry",1
"Gunther","Mark",1
"Gunther","Melissa",1
"Gunther","Monica",18
"Gunther","Mr. Geller",1
"Gunther","Mrs. Geller",1
"Gunther","Patron",1
"Gunther","Phoebe",20
"Gunther","Rachel",24
"Gunther","Robert",1
"Gunther","Ross",29
"Gunther","Sister 1",1
"Gunther","The Fan",1
"Gunther","The Stripper",1
"Gunther","Woman",2
"Guru Saj","Joey",1
"Guru Saj","Ross",1
"Guy","Helena",1
"Guy","Jim",1
"Guy","Joey",5
"Guy","Lydia",1
"Guy","Monica",6
"Guy","Phoebe",8
"Guy","Rachel",3
"Guy","Ross",2
"Guy #1","Joey",1
"Guy #1","Woman",1
"Guy #2","Joey",1
"Guy #2","The Porsche Owner",1
"Guys","Joey",2
"Guys","Monica",2
"Guys","Phoebe",2
"Guys","Rachel",2
"Guys","Ross",2
"Gym Employee","Ross",1
"Gym Employee","Woman",1
"Heather","Rachel",1
"Helena","Monica",3
"Helena","Waiter in Drag",1
"Her Friends","Rachel",1
"Hilda","Rachel",1
"Hilda","Tag",1
"Hombre Man","Joey",3
"Hombre Man","Store Guy",1
"Hooker","Joey",2
"Hooker","Monica",1
"Host","Joey",1
"Host","Mike",1
"Host","Phoebe",1
"Host","Rachel",1
"Host","Ross",1
"Hotel Clerk","Monica",1
"Hums While He Pees","Monica",1
"Hums While He Pees","Phoebe",1
"Hums While He Pees","Ross",1
"Hypnosis Tape","Joey",1
"Intercom","Monica",1
"Intercom","Rachel",1
"Interviewer","Monica",1
"Interviewer","Phoebe",1
"Isabella","Monica",1
"Isabella","Rachel",1
"Isabella","Ross",1
"Jake","Joey",1
"Jake","Man",1
"Jake","Monica",1
"Jake","Phoebe",2
"Janice","Jester",1
"Janice","Joey",17
"Janice","Lorraine",2
"Janice","Matress King",1
"Janice","Max",1
"Janice","Monica",7
"Janice","Phoebe",12
"Janice","Rachel",8
"Janice","Ross",7
"Janice","Sandy",1
"Janice","Ticket Counter Attendant",2
"Janine","Joey",11
"Janine","Monica",8
"Janine","Phoebe",2
"Janine","Rachel",4
"Janine","Ross",6
"Janitor","Phoebe",1
"Janitor","Ross",1
"Janitor","Susan",1
"Jasmine","Phoebe",1
"Jason","Phoebe",3
"Jason","Vince",1
"Jay Leno","Joey",1
"Jay Leno","Monica",1
"Jay Leno","Mrs. Bing",1
"Jay Leno","Paolo",1
"Jay Leno","Phoebe",1
"Jay Leno","Rachel",1
"Jay Leno","Ross",1
"Jeannine","Julio",1
"Jeannine","Monica",1
"Jen","Joey",1
"Jen","Ross",2
"Jen","The Hot Girl",1
"Jen","The Man",1
"Jessica Ashley","Joey",1
"Jessica Ashley","Rachel",1
"Jester","Joey",1
"Jester","Monica",1
"Jill","Joey",3
"Jill","Monica",3
"Jill","Phoebe",2
"Jill","Rachel",8
"Jill","Ross",6
"Jill","Woman",2
"Jim","Phoebe",2
"Joanna","Mr. Posner",1
"Joanna","Mrs. Lynch",1
"Joanna","Rachel",7
"Joanna","Sophie",4
"Joanne","Joey",1
"Joanne","Kiki",1
"Joanne","Monica",1
"Joanne","Phoebe",1
"Joanne","Rachel",2
"Joanne","Ross",1
"Joey","Joey's Co-Star",1
"Joey","Joey's Date",1
"Joey","Joey's Doctor",3
"Joey","Joey's Hand Twin",2
"Joey","Joeys Grandmother",1
"Joey","Joeys Sister",1
"Joey","Joeys Sisters",2
"Joey","Joshua",3
"Joey","Julie",2
"Joey","Kash",2
"Joey","Kate",6
"Joey","Kathy",5
"Joey","Katie",3
"Joey","Kid",1
"Joey","Kids",1
"Joey","Kitchen Worker",1
"Joey","Krista",1
"Joey","Kristen",2
"Joey","Lauren",3
"Joey","Leslie",1
"Joey","Liam",1
